ID_Factura,Fecha,ID_Tratamiento,ID_Doctor,Importe_Cobrado,Metodo_Pago
46,2026-03-14,5,4,248.83,Transferencia
64,2026-03-14,11,3,98.64,Tarjeta
304,2026-03-14,6,5,1137.74,Tarjeta
5,2026-03-15,6,2,1146.69,Tarjeta
35,2026-03-15,12,1,225.77,Tarjeta
250,2026-03-15,6,2,1264.16,Transferencia
299,2026-03-15,1,1,57.07,Financiacion
481,2026-03-15,5,4,275.81,Tarjeta
23,2026-03-16,11,6,96.93,Transferencia
495,2026-03-16,5,1,245.54,Transferencia
44,2026-03-17,15,1,147.1,Tarjeta
281,2026-03-18,10,3,145.25,Transferencia
452,2026-03-18,12,5,210.09,Financiacion
453,2026-03-18,14,5,467.81,Tarjeta
216,2026-03-19,13,1,367.35,Financiacion
356,2026-03-19,7,1,650.71,Financiacion
487,2026-03-20,8,6,49.38,Tarjeta
498,2026-03-20,5,4,281.87,Tarjeta
113,2026-03-21,6,2,1229.12,Tarjeta
186,2026-03-21,6,1,1271.07,Tarjeta
345,2026-03-21,1,1,65.38,Transferencia
36,2026-03-22,10,3,143.35,Efectivo
421,2026-03-22,12,4,236.38,Tarjeta
458,2026-03-22,7,1,634.3,Efectivo
209,2026-03-23,2,3,36.78,Financiacion
68,2026-03-24,10,3,155.01,Tarjeta
461,2026-03-24,7,2,620.24,Financiacion
287,2026-03-25,4,4,196.91,Efectivo
307,2026-03-25,9,6,114.09,Tarjeta
360,2026-03-25,4,4,175.05,Tarjeta
422,2026-03-25,4,4,189.16,Transferencia
20,2026-03-26,3,1,71.78,Transferencia
109,2026-03-26,10,3,148.64,Tarjeta
314,2026-03-26,8,6,52.99,Tarjeta
63,2026-03-27,11,1,88.62,Tarjeta
15,2026-03-28,13,2,365.97,Tarjeta
48,2026-03-28,12,5,221.86,Transferencia
49,2026-03-28,10,1,149.3,Financiacion
321,2026-03-28,11,1,92.48,Tarjeta
340,2026-03-28,9,1,111.67,Tarjeta
459,2026-03-28,8,6,45.83,Financiacion
152,2026-03-29,10,2,157.47,Efectivo
376,2026-03-29,8,6,50.61,Financiacion
426,2026-03-29,10,5,161.39,Financiacion
311,2026-03-30,8,6,45.37,Tarjeta
30,2026-03-31,13,5,351.56,Transferencia
51,2026-03-31,7,6,600.59,Financiacion
75,2026-03-31,11,3,93.23,Financiacion
308,2026-03-31,10,3,158.15,Transferencia
338,2026-04-01,5,4,240.67,Financiacion
66,2026-04-02,9,6,108.86,Tarjeta
254,2026-04-02,10,3,147.13,Efectivo
467,2026-04-02,10,3,163.65,Tarjeta
11,2026-04-03,7,2,621.14,Efectivo
227,2026-04-03,2,3,37.01,Efectivo
317,2026-04-03,14,4,421.24,Tarjeta
471,2026-04-04,10,3,157.19,Tarjeta
125,2026-04-05,4,3,189.02,Efectivo
3,2026-04-06,6,2,1214.7,Transferencia
168,2026-04-06,15,2,129.18,Financiacion
268,2026-04-06,10,5,150.21,Efectivo
408,2026-04-06,8,5,53.09,Efectivo
234,2026-04-07,13,6,351.89,Tarjeta
40,2026-04-08,7,1,679.67,Financiacion
146,2026-04-08,5,2,268.34,Tarjeta
283,2026-04-08,13,5,383.02,Transferencia
297,2026-04-08,13,6,353.1,Tarjeta
261,2026-04-09,6,2,1224.58,Transferencia
271,2026-04-09,2,3,40.04,Tarjeta
318,2026-04-09,6,1,1238.62,Tarjeta
41,2026-04-10,7,2,603.22,Tarjeta
61,2026-04-10,5,6,248.65,Tarjeta
93,2026-04-10,5,4,236.61,Tarjeta
238,2026-04-10,6,3,1107.57,Tarjeta
257,2026-04-10,7,2,653.12,Tarjeta
472,2026-04-10,1,1,65.32,Tarjeta
374,2026-04-11,7,2,639.44,Tarjeta
202,2026-04-12,3,4,73.56,Tarjeta
248,2026-04-12,11,3,93.21,Efectivo
119,2026-04-13,13,5,345.12,Efectivo
437,2026-04-13,8,6,54.14,Transferencia
94,2026-04-14,5,4,268.71,Financiacion
205,2026-04-14,5,4,264.4,Financiacion
352,2026-04-14,10,3,137.9,Tarjeta
107,2026-04-15,9,5,108.65,Tarjeta
138,2026-04-15,8,6,46.03,Tarjeta
57,2026-04-16,15,3,132.84,Tarjeta
220,2026-04-16,6,1,1269.6,Tarjeta
285,2026-04-16,7,5,605.05,Tarjeta
210,2026-04-17,5,4,264.54,Transferencia
